lang,dur
한국어,18530.220406999993
Abaachi,3936.3395910000004
Abab,2328.34612
Abanyum,819.121633
Abau,10086.373878000002
Abawa,3085.505306
Abayong,1264.013061
Abbe,1640.75102
Abe,4892.238366
Abidji,3465.038368000001
Abini,2596.989388
Abong,7344.065304000001
Aborlan,3049.404082
Abron,3332.310204
Abua,2189.165715
Abu,3449.3126530000004
Abui,2314.8146949999996
Aceh,5966.73306
Achagua,1716.0097959999998
Ache,4392.9338800000005
Acheron,29226.945311000032
Achhami,6883.761627000002
Achi,4205.897144
Achik,23178.004904
Achode,14575.307755000002
Acholi,7957.18531
Achuar,7361.253876999999
Ada,2771.356733
Adan-Gbe,2688.4440830000003
Adangbe,17470.406528999996
Adang,2090.1877529999997
Adangme,13834.213875
Adara,5226.213876
Adare,430.39347
Adele,20791.980411999994
Adi,9905.998367999999
Adim,867.6048969999999
Adiyar,789.76
Adzera,1817.129795
Aeka,1829.6946940000003
Aekyom,18162.233466999995
afae,1853.283265
Afan,21213.048162999985
Afar,5936.9534699999995
Af,17414.164896
Afrikaans,56207.17714899999
Afrike,1679.804082
Afshari,2159.6734679999995
Agarabi,8667.245710000001
Agatu,2603.598367
Agbo,1304.11102
Agharia,420.963265
aghim,407.51020400000004
Agi,3011.239184
Agni,2135.7191829999997
Agob,964.414694
Agoi,818.520816
Agoune,2710.62204
Agrame,1656.0326529999998
Agta,4612.127348000001
Agutayno,2230.7787749999998
Agwagwune,896.7314289999999
Ahanta,28934.269387
Ahe,11640.581225999997
Aikana,6923.833469000001
Aimol,7500.173066000001
Aita,9909.838367999999
Aizi,2772.3493879999996
Aja,18512.666127
Ajao,2841.6261229999996
Ajawanini,974.393469
Ajie,834.690612
Ajummaawi,1718.8310219999998
Akabara,833.802449
Akaselem,6748.995916
Akawoia,2012.943673
Akeanon,1772.120817
Akebou,6910.928979000001
Akei,8514.246533000001
Akeu,6501.694692000002
Akha,3344.953467
Akɨghɨman,1677.2440809999998
Akolet,2405.407346
Akoose,2151.7844910000003
Akpafu-Lolobi,2582.622041
Akpet,1288.515919
Akposo,8979.722449
Akposso,10101.133066000002
Akwa,2152.176326
Akwe,17264.378775
Ak,1681.893878
Akye,2475.572245
Alabe,788.453878
Aladian,2119.3404079999996
Alago,1691.951021
Alak,4826.827755
Alangan,4012.120816
Alawa,2315.7812269999995
Albanski,10130.964897000002
Ale,4555.546121999999
Alege,2600.045714
Ali,1631.216328
Allar,5729.515104000001
Alor,3487.503674
Alsengg,767.346939
Alu,8185.051430999999
Alumu-Tesu,4407.301224
Alune,9975.980408
Alur,7498.605714
Alyawarr,17765.355106
Amadi,1154.45551
Amahuaca,1723.663674
Amanab,7832.346124
Amarasi,15732.479996
Ama,2781.910203
Amayo,2098.390205
Ambae,13162.370612
Ambai,6231.614692999999
Ambele,1741.9755109999999
Ambrym,25186.795095999994
Amdo,27663.412245000003
Amele,1650.8081630000001
Amene,2297.626122
Amol,3634.3902040000003
Amo,1731.0302040000001
Amto,631.24898
amueixa,4152.241634
Amuku,937.012244
Amulah,420.257959
Amuzgo,2802.546938
Anakalang,3771.715919
Anak,4054.308572000001
Anal,6576.300410000001
Ana,858.775511
Andoh,2327.3273470000004
Andoque,821.76
Andra-Hus,809.534694
Aneityum,3034.77551
Anen,721.998367
Angaite,1703.627755
Angal,40508.13386899999
Angkola,6185.482448
Angoram,1709.8448979999998
Anii,16644.362447000003
Animere,1562.044082
Anindilyakwa,37056.91428600001
Anishinaabemowin,2068.7673449999993
Anishnaabemowin,2158.288981
Annang,2097.084082
Anuak,10321.031840000001
Anufo,24916.636743000003
Anuki,67325.96245200007
An,1261.557551
Anyanga,4927.81714
Anyang,2787.63102
Anyin,12931.082449999996
Aola,1359.804082
Apache,3172.8587749999997
Apalai,1305.6783679999999
Apal,43552.940414000026
Apatani,6477.322449000001
Apinaye,3883.284897
Apma,7709.100406
Apolo,1252.5191829999999
Apurina,5322.239997
Arabela,1744.352653
Arabic,210368.992657
Aragones,2403.239188
aragones,2355.043267
Arakan,9697.959186
Araki,1707.650613
Aramaic,10726.217143000002
Aram,3918.942037
Aramba,5268.845714000001
Aranada,1399.3012239999998
Araona,5965.792654
Arara,9630.014689999996
Ararahih,865.724082
Arawak,1271.536327
AreAre,3508.715102
Are,28874.475099999985
Aren,3473.1363290000004
Arfu,898.324897
Arhuaco,4052.271019
Arifama,9194.031020000002
Arigidi,1695.4514279999999
Arikka,713.142857
Aringa,787.748571
Arlijan,13819.115107000001
Armenian,3604.8457150000004
Arop,886.543674
Arosi,2650.357548
Arove,5171.565715999999
Aro,3550.432653
Arrarnta,19742.432650999992
Arua,1265.345306
Arufe,3922.285716
Aruwam,7856.901222999999
Asahei,2732.434285999999
Asaka,2850.4816329999994
Asa,1134.28898
Aselo,2987.9118369999997
Aseroc,946.8081629999999
Ashaninca,11795.173876000003
Ashaninka,6114.403266000001
Ashe,3242.0310219999997
Asheninka,5113.155919
Ashkuni,352.96653000000003
Asmat,29575.07918299999
Assiga,887.144489
Asuri,2620.447346
Asurini,1231.020409
Asu,2216.09796
Ata,15908.022855
Atao,2258.23347
Atchin,1886.5632649999998
Ateso,30373.720818000013
Atohwaim,2813.44
Atong,8137.038364999999
Atoro,3859.461225
Atsam,10074.148570000001
Attakar,3082.109389
Atta,12051.983666
Attie,2114.664489
Atuku,2663.5232670000005
Atunza,6814.197551000001
Auhelawa,18168.79019799999
Aujefor,900.8587749999999
Aukaans,1130.057143
Aukan,2224.378775
Aulua,1715.043265
Autu,3325.1526539999995
Au,7119.229387
Auyana,1771.885714
Auye,2783.242446
Auyu,23112.907753000003
Avande,3233.0187770000002
Avatime,4751.072652000001
Avoana,9176.94694
Avukaya,3767.5102069999994
Awa-Cuaiquer,1060.336327
Awa,34712.607350000006
Awaiama,856.032653
Awajun,6503.209797000001
Awani,4047.960817
Awaula,884.297143
Aweer,13893.851428999998
Aweti,1117.54449
Awingi,787.748571
Awngi,2017.645714
Awun,2832.4310199999995
Awutu,913.8938770000001
Awu,1549.87102
Awyu,4053.8383639999997
Axamb,3372.538774
Axi,2174.981224
Ayore,6921.168978000001
Ayta,17871.281635999996
Ayu,4548.414693
Ayuka,929.515103
Ayuucc,2624.5746940000004
Azerbaijani,8542.302040000002
Azhe,3474.128979
Azoumeina,10245.877552
Baaja,3274.7363279999995
Baajek-Ajek,2789.7469380000002
Baaj,11839.608164
Baba,2643.0693890000002
Babagarubu,13150.746118999996
Babai,1746.076735
Baboma,1717.368164
Babungo,2574.6808180000003
Babur,878.2106120000001
Bacama,4179.461224000001
Bada,4167.758367
Badameo,3516.16
Bade,3650.559999
Badouma,891.19347
Badugu,3518.354286
Badui,4188.290614999999
Baebo,819.748572
Baegu,24601.469383000003
Baelelea,26406.817961999994
Bafanji,3337.7436740000007
Bafaw,425.560816
Bafek,812.2775509999999
Bafia,5306.435917000001
Bafut,5600.835918999999
Baga,9547.546122
Baganci,1536.3134689999997
Bagari,6539.676738
Bagheli,9820.133876
Bagobo,793.5738779999999
Bago-Kusuntu,5852.212244
Baguirmi,3494.034285
Bagwa,3440.6400019999996
Baham,1331.30449
Bahasa,71331.55264999994
Bahinemo,2135.2228569999997
Bahing,8434.573062
Bahnar,3972.2579619999997
Baibai,2810.4620400000003
Baiga,1279.320817
Baiiyi,3395.787754
Baikeno,18538.657956000014
Bai,2679.7191850000004
Baima,3178.3967340000004
Bainapi,7874.925713000001
Baining,2687.346939
Bainouk-Gunyono,3417.182041
Bairisch,918.282449
Baitadi,3311.8824489999997
Baiyi,7988.479998999998
Bajania,3363.448163
Bajare,3701.890613
Bajau,3148.800003000001
Bajawa,2531.578777
Bajju,3190.0995930000004
Bakairi,6490.592656000001
Bakalanga,1694.5632640000001
Bakambai,2376.7510199999997
Baka,8948.401634999998
Bakati,9116.395100000002
Bakau,2774.72653
Bakele,1251.082449
Bakossi,398.367347
Bakpre,2778.5926529999997
Bakti,3878.922448
Bakua,4291.3959190000005
Bakumpai,3505.920003999999
Balai,6732.277548999999
Balangao,8369.423675
Balangingi,2297.07755
Balang,1013.2114290000001
Balanta,23087.542856999982
Balanta-Ganja,2033.972246
Balantak,9122.377145
Balawaia,5172.218775999999
Baletha,2453.707755
Bali,8135.131431000002
Balkan,1170.050612
Balo,2281.221224
Balochi,4988.682449
Baloi,2425.4171429999997
Balong,797.178776
Baluan,1087.346939
Baluba,1673.613061
Baluchi,365.035102
Bamali,3505.188572
Bamanankan,35464.38530400001
Bamayo,2524.5257140000003
Bambamba,1224.64653
Bambam,24413.361635
Bambatana,9310.458776000001
Bambili,2581.65551
Bambui,3087.908571
Bamessing,3453.152653
Bamoro,2646.569797
Bamoun,2087.288163
Bampape,3462.7134650000003
Bamukumbit,2341.093879
Bamu,10349.818774
Bamunka,2471.2881629999997
Banana,5213.831837999999
Banaro,3361.488981
Banawa,37027.813879999994
Bana,2393.913469
Banbalang,2539.4155100000003
Banda,2539.650611
Bandassa,613.250612
Bandas,3450.305307
Bandawa,2654.354286
Bandial,3263.3730610000007
Bandi,11802.279176999993
Bangala,45441.64571400002
Bangandu,2822.008164
Banga,1664.182857
Bang,1895.706122
Banggai,18636.930614
Bangkalaan,3363.3436739999997
Bangla,1567.973877
Bangolan,5197.061227
Bangwa,2959.1771440000007
Banhum,963.2391829999999
Baniwa,9822.563260999998
Banjar,8526.811426999999
Banjari,824.9730609999999
Banna,35733.133062
Bannuchi,437.289796
Banyadu,5356.721633
Banyam,2835.3828569999996
Banyangi,800.992653
Banziri,2446.288979
Baoule,4596.636735
Bapindji,867.108572
Baraamu,3347.382857
Barabaig,29166.31510099999
Baraine,1307.637551
Barai,2455.823673
Barapasi,1337.338775
Barar,857.756734
Barasano,2688.026124
Baravaia,1317.746938
Bardi,2672.5093870000005
Bareke,5797.093881999999
Bareli,11702.308573
Bare,1662.197551
Baribe,2253.3746939999996
Bari,14956.826116999997
Barok,1685.185306
Barombi,420.571429
Baruga,1258.8408169999998
Barukul,1771.389388
Basa,29052.081628999993
basa,133434.09632200003
Basa[Nigeria],1776.953469
Basap,2366.7983679999998
Basima,391.31428600000004
Basketto,3049.116734
Baso,4627.017139
Basque,2897.1624490000004
Bassa,10099.748574
Bassossi,444.943673
Batak,25075.59183399999
Batanga,389.642449
Batangkawa,5476.806530999999
Batanta,830.72
Batonu,6361.652246
Batoufam,2504.3330610000003
Batswa,738.037551
Batu,6115.761636
Bauchi,3405.557555000001
Bauni,2552.372245
Baure,7927.484083999999
Bauria,6239.608163
Bauzi,1821.701224
Bavoungou,432.169796
Bawandji,773.746939
Bawm,20856.946946999993
Bawoumvou,2090.501225
Baya,4452.832653
Bayan,2545.266939
Bayombe,865.985306
Bayot,3236.806534
Bazigar,6144.339588999999
Bazi,419.787755
Beafada,1185.044897
Bebele,7251.356734
Bebeli,845.191836
Becheve,5472.339591999999
Beche,3098.0179590000007
고려말,3323.898776
Bedamuni,28626.416325999995
Bedde,2569.4563279999998
Bedineh,2613.55102
Beebo,2787.94449
Beembe,2025.9787740000002
Befang,5312.417960000001
Begahak,3063.5885710000002
Bekwarrah,2822.217142
Bekwel,2135.013877
Belanda,1934.001634
Belangin,7505.057957000001
Belangit,2797.714288
Belarupu,1660.7085710000001
Belawan,2832.378775
Belebele,380.891428
Bele,1583.203265
Beli,1570.481632
Bembe,19480.842450000004
Bembi,380.15999999999997
Bemoyap,3828.323265
Bemoyo,2268.1077530000002
Benabena,3046.922448
Bena,2600.150204
Bench,29135.56898200001
Bendi,4303.621225999999
Beneraf,887.954286
Bengali,18504.933872999994
Beng,1623.588571
Benjube,2647.823673
Bentian,3888.039184
Benua,4593.7110219999995
Berba,1657.443264
Berik,4546.45551
Bermejo,7005.857959
Berom,3022.628572
Berta,3141.0155100000006
Berusuh,3082.9191849999997
Besoa,3738.592651
Betawi,5298.12898
Bete,7983.568983
Betsimisaraka,11700.114286
Bette,2655.608164
Bhadarwahi,5204.506123000001
Bhakhariha,1616.770612
Bhatra,1616.4832649999998
Bhatri,2429.152653
Bhattiyali,5191.000816000001
Bhatt,834.742857
Bhilali,42536.56816299998
Bhili,2490.226939
Bhojpuri,5894.217144
Bhotia,430.471836
Bhumij,3410.3902040000003
Bhunjari,2456.711836
Bia,1471.947755
Biak,13887.216322999997
Biak-Numfor,3255.1706119999994
Biangai,1406.354286
Bian,887.3273469999999
Bicol,3598.8114299999997
Bidayuh,3053.949387
Bidio,1280.078368
Bidyogo,1136.195918
Biete,1661.5967340000002
Biga,883.644082
Bijago,22239.843272999988
Biksi,3461.877551
Bilaan,4510.5371430000005
Bilaspuri,8554.475099000001
Bilba,2951.157552
Bilen,6157.13959
Bille,3068.682449
Bilua,7216.274287
Bima,2980.388571
Bimbia,424.176327
Bimin,1756.0555100000001
Bimoba,16010.997558000001
Binae,2998.648162000001
Binandere,2209.985307
Binawa,2638.654694
Bine,17298.599183
Binokid,6602.605715
Binongko,688.927347
Binumarien,2198.517551
Biote,1519.9085719999998
Bio,3319.640816
Bipim,1828.466939
Birao,4998.582856999999
Bira,2293.028571
Birifor,18363.115103
Birom,2194.834286
Birwa,828.4473459999999
Bisa,13308.708568000002
Bisaya,805.537959
Bishiri,2601.247347
Bishnupuriya,2447.621225
Bislama,50819.70938900002
Bisonhorn,2579.591836
Bisu,1452.90449
Bitara,1737.3518359999998
Bitovondo,897.645714
Biwat,3246.5502040000006
Biyah,2411.885715
Bku,861.074286
Black,3173.1200010000007
Blang,1544.542041
Blang-Shan,13412.388570000001
Ble,1082.566532
Blimo,1878.83102
Bngagam,5244.238367
Bobangi,1631.764898
Bobo,12746.945303999999
Bodo,7053.426939999999
Boga,2523.924898
Bogaya,8172.068571999998
Boiken,3466.4750999999997
Boikin,7008.862043
Boi,1241.2342859999999
Boki,5674.919185000001
Bokobaru,3629.766530000001
Boko,5877.864491999999
Boku,871.2097960000001
Bolaang,1725.675102
Bola,2354.912654
Bolewa,4353.515102
Bolon,1448.933877
Bom,2583.849796
Bombieta,5518.28898
Bomboma,1129.038367
Bonda,6019.265303999999
Bondei,789.028571
Bongo,2949.2506120000003
Bonguili,4389.616325
Bonjugi,18917.093870000004
Bonoi,931.422041
Bontoc,10222.080000999998
Borana,57165.21797000005
Bora,1698.742858
Boro,6698.161631000001
Bororo,1280.1306120000002
Bosalewa,465.345307
Bosanski,16071.732249
Bosman,2611.3567350000003
Bote-Majhi,3154.207346
Botin,2992.2220410000004
Botofina,881.972245
Boua,1636.414694
Boulba,2663.915102
Boum,1281.750204
Bourba,3258.958369
Bowiri,2400.052245
Bo,3403.284898
Boyei,2730.1355100000005
Bozo,4911.04653
Bragat,3555.030205
Brahui,3132.05551
Breri,2692.59755
brezhoneg,2370.76898
Bribri,1987.944489
Brignan,2055.079183
Brokskat,5359.516735
Bru,35128.111018
Buang,4259.239184
Budja,1195.180408
Buduma,2017.6195909999997
Bugawac,1260.512653
Bughotu,17342.850611
Bugis,3677.074286999999
Bugun,5137.005714999999
Buguo,3061.0546930000005
Buh,7582.746121999998
Buhid,10639.725716
Buhutu,92837.56408899998
Buin,1910.2302040000002
Bujiyel,2865.2930610000003
Buka,934.3477560000001
Bukete,5367.118366000001
Bukharian,3024.4571420000007
Buksa,7108.414695
Bukusu,20975.908567999995
Bulaka,2494.1714279999997
Buli,38598.81795900004
Bulu,7101.440001999999
Bululaha,887.013877
Bumaji,3503.2555089999996
Bum,3141.564082
Bunama,421.276735
Bundi,1309.309388
Buol,3115.0497950000004
Burak,4331.31102
Burarra,6261.786121999999
Bura,2545.606531
Bure,4337.92
Buriat,3531.9118359999998
Burji,14436.284081
Burka,4294.426122
Burmese,5785.155916000001
Burmeso,3376.0130609999997
Burrum,1699.134694
Buru,20851.565714000004
Burum,4023.7191830000006
Burun,4046.811429
Burushaski,4112.822853999999
Busam,2398.328164
Busan,3366.661225
Bushari,1297.371428
Bushilele,2310.974694
Bussawa,1672.0979590000002
Bussa,2566.6089789999996
Butwa,2571.702857
Buwal,2442.0832659999996
Buwongo,1309.44
Buyi,7973.903675
Bwaidoga,3714.481635000001
Bwaidogen,3723.5983659999997
Bwamu,6509.949388
Bwanabwana,1364.218775
Bwasilaki,1799.706122
Bwikelebwe,2202.4881649999998
Bwol,5520.117552
ɓasaa,7084.173061999999
Cabe,2617.103674
Cacchiquel,1763.918367
Cacua,2294.831022
Cagayanon,4312.63347
Cahuilla,3452.604081
Ca̱hungwa̱rya̱,2900.06204
Caita,2269.8840830000004
Cajun,2419.095511
Cakchiquel,27357.962449000013
Cakfem-Mushere,797.3616320000001
Calamiano,2488.42449
Calo,2133.968979
Camsa,2019.030205
Canadian-Alaskan,2597.564081
Candoshi-Shapra,4974.210612
Canela,7611.324082999998
Canichana,1816.3461230000003
Cao,2560.026122
Capanahua,2377.456327
Carapana,3117.4530630000004
Carib,1725.727348
Carijona,421.041633
Carrier,2590.8506119999997
Casiguran,12714.501225000002
Cassanga,1072.84898
Catala,3394.4816340000007
Catalan,3292.8653050000003
Cauijo̱,3136.914286
Cavinena,6921.639192999999
Cayubaba,3018.9191849999997
Cenka,4565.394289000001
Central,30639.12490099999
Cerma,2171.088979
Cestina,24839.601636000003
Chabakano,3562.0310200000004
Chachi,1813.315918
Chacobo,11050.527349
Chagga,7456.261226000002
Chahta,3625.639185
Chakali,7301.955918999999
Chakfem,1666.2204080000001
Chak,13594.331429000002
Chakhesang,1265.92
Chakma,1174.4391839999998
Chala,3520.705306
Chamacoco,1144.868572
Chaman,2112.8359179999998
Chambri,1756.525714
Chamling,29419.964083000024
Cham,3464.85551
Chandrabanshi,3528.542041
Changma,25919.921636000006
Chang,5699.892247
Changthang,5310.615512
Charan,1841.4236740000003
Chat-An,13869.662041000001
Chat,3450.096326
Chatino,34529.567352999984
Chaurahi,1723.010612
Chayahuita,4915.121632
Cheke,5742.654691999999
Chemehuevi,1771.546122
Chenchu,8020.950205
Chepang,13233.084084000002
Cherepon,3951.5167360000005
Chetty,1584.039184
Chibuku,2535.6277550000004
Chichewa,5910.883266000003
chiChewa,18394.409794999996
Chichimeca,2387.4351039999997
Chifwe,9007.725715
chiLunda,8162.742861999998
Chimane,10490.253061
Chimila,813.531429
Chinamwanga,26325.707755
Chinantec,3516.2644909999995
Chinanteco,33193.24734499999
Chin,194836.7412430003
Chinese,117400.00653399996
Chini,2446.2628560000007
Chinna,783.4383680000001
Chipaya,8702.537143
Chippewa,3505.423674
Chiquitano,11883.441630999998
Chiru,2767.412245
Chisena-Chichewa,4014.706939
chiShona,47577.62611800002
Chocangacakha,7147.9640850000005
Chocholteco,1834.553469
Chodhari,842.422857
Chol,15323.141226999987
Chontal,11091.330613
Chonyi,29530.279184
Chopi,4950.073467999999
Chorote,828.3428579999999
Choroti,1318.661224
Chote,1169.841633
Chowra,1020.16
Chrau,3594.684082999999
Chru,1594.5404079999998
Chug,4259.761632000001
Chuj,8434.808163
Chumuru,9688.032655
Chung,2650.305306
Churahi,10885.746936000005
Chuwabo,2452.924082
Cia-Cia,4813.531427000001
Ciganski,1756.682449
Cikobo,801.9853069999999
Citak,4235.415509000001
Ciyaye,9815.614698000003
Clela,2555.428572
Cmiique,2487.118368
Cobiana,1090.925714
Cocama,1635.5787760000003
Cocamilla,1660.4212240000002
Cocopa,1919.869388
Cofan,3247.464488999999
Cokwe,5933.583672999999
Colville,942.9159179999999
Coniagui,2480.404898
Coong,4862.093063
Coorgi,1994.292245
Cora,8801.175511000001
Corsu,1937.5804079999998
corti,2831.647346
Coushatta,1909.812245
Cree,5989.746937000001
Creole,2395.088979
Crioulo,16704.339593999997
Crow,2257.6848989999994
Cua,3115.8595899999996
Cubeo,6479.777959000001
Cuiba,1168.53551
Cuicateco,2548.9502030000003
Cuicatec,6701.5575499999995
Culina,3469.296325999999
Curipaco,3533.2702060000006
Cutchi,2394.044082
Cuvok,2978.716734
Cuyonon,5210.3575519999995
Daakaka,1594.984489
Daasanech,24247.144489000013
Daba,1234.729796
Dadibi,1722.671021
Dadiya,2134.2824490000003
Dagaari,5184.653062
Daga,4812.382038999999
Dagara,26835.304491000003
Dagari,21544.803265000002
Dagbani,31785.560822000003
Daho-Doo,2190.053878
Dai,10095.098776
Daima,1890.429388
Daju,414.302041
Dakpakha,4401.475920000002
Dakti,7972.101223
Damal,2700.9306129999995
Damar,697.7306120000001
Dami,6896.718367
Dampelas,2438.9485710000004
Dangaleat,1066.34449
Dangi,855.405715
Dani,29675.937957
Dano,10739.722447999999
dansk,1324.094695
Danuwar,12373.916736
Daonda,3437.113469
Darai,10668.303671
Dari,385.044898
Darlong,2815.190204
Darwazi,389.903673
Dassa,4411.768163
Datki,1563.4024509999997
Daur,8617.978777
Daurukhi,5999.359999000001
Dausahaq,3354.383674
Dausame,9023.608165000003
Davaweno,1128.54204
Davovitu,434.050612
Dawada,895.346939
Dawawa,47834.30530900003
Dawei,2882.377146
Dawida,31218.703669
Daw,5152.365715999999
Dawro,2951.183674
Dayak,4241.554282
Day,7064.346121999999
Dazaga,31179.15428500002
Dbaku,2668.2775530000004
Deang,5613.165717
Debati,2289.867756
Deccan,5298.520816
Degama,2582.961632
Degaru,6308.832652
Deg,11726.210610000002
Dehwari,861.44
Dei,1718.256327
Deing,2354.494691000001
Dela-Oenale,10886.844078999993
Deme,1339.297959
Dem,1108.897959
Denaina,2079.3208129999994
Dendi,4311.719183
Dene,2419.0955089999998
Deno,1679.673469
Denya,6866.599184
Deori,5695.660407000001
Desa,5261.348575000001
Desawa,868.519183
Desia,9158.295511999999
Deutsch,15762.625302999997
Dewas,7219.461225
Dezi,2490.0963260000003
Dghwede,800.992653
Dhalwangu,1618.677551
Dhanuk,6839.954287000002
Dhao,15833.391019
Dhatki,7211.781224
Dhimal,12528.169797
Dhodia,1294.236735
Dholuo,39389.02204600002
Dhundhari,7133.701225
Dhuwa,13927.627756000005
Dhuwaya,16209.946122
Dhyang,1214.014694
Dibabawon,2105.521633
Dibo,2691.709387
Dida,2114.507756
Didayi,817.214694
